"batter","game_year","stand","xbabip","xbscon","n"
"Bryce Harper",2018,"L",0.268493150684932,0.704109589041096,365
"Bryce Harper",2019,"L",0.286885245901639,0.745901639344262,366
"Buster Posey",2015,"R",0.307692307692308,0.503118503118503,481
"Buster Posey",2016,"R",0.295302013422819,0.492170022371365,447
"Buster Posey",2017,"R",0.339759036144578,0.532530120481928,415
"Buster Posey",2018,"R",0.318318318318318,0.45045045045045,333
"Buster Posey",2019,"R",0.292452830188679,0.443396226415094,318
"Byron Buxton",2017,"R",0.300353356890459,0.551236749116608,283
"C.J. Cron",2015,"R",0.269662921348315,0.528089887640449,267
"C.J. Cron",2016,"R",0.296666666666667,0.573333333333333,300
"C.J. Cron",2017,"R",0.283720930232558,0.516279069767442,215
"C.J. Cron",2018,"R",0.281437125748503,0.664670658682635,334
"C.J. Cron",2019,"R",0.253822629969419,0.577981651376147,327
"Caleb Joseph",2015,"R",0.253164556962025,0.49789029535865,237
"Cameron Maybin",2015,"R",0.316622691292876,0.474934036939314,379
"Cameron Maybin",2016,"R",0.366935483870968,0.516129032258065,248
"Cameron Maybin",2017,"R",0.274368231046931,0.487364620938628,277
"Cameron Maybin",2018,"R",0.291497975708502,0.396761133603239,247
"Cameron Rupp",2016,"R",0.305019305019305,0.656370656370656,259
"Carlos Asuaje",2017,"L",0.33953488372093,0.488372093023256,215
"Carlos Beltran",2015,"L",0.281954887218045,0.575187969924812,266
"Carlos Beltran",2016,"L",0.26530612244898,0.585034013605442,294
"Carlos Beltran",2017,"L",0.261538461538462,0.511538461538461,260
"Carlos Correa",2015,"R",0.286206896551724,0.651724137931034,290
"Carlos Correa",2016,"R",0.306172839506173,0.577777777777778,405
"Carlos Correa",2017,"R",0.317307692307692,0.701923076923077,312
"Carlos Correa",2018,"R",0.276595744680851,0.549645390070922,282
"Carlos Gomez",2015,"R",0.296052631578947,0.526315789473684,304
"Carlos Gomez",2016,"R",0.2875,0.529166666666667,240
"Carlos Gomez",2017,"R",0.318840579710145,0.632850241545894,207
"Carlos Gomez",2018,"R",0.274261603375527,0.472573839662447,237
"Carlos Gonzalez",2015,"L",0.258145363408521,0.701754385964912,399
"Carlos Gonzalez",2016,"L",0.324455205811138,0.656174334140436,413
"Carlos Gonzalez",2017,"L",0.311926605504587,0.556574923547401,327
"Carlos Gonzalez",2018,"L",0.327327327327327,0.597597597597598,333
"Carlos Ruiz",2015,"R",0.248868778280543,0.34841628959276,221
"Carlos Santana",2015,"L",0.228682170542636,0.527131782945736,258
"Carlos Santana",2016,"L",0.215686274509804,0.650326797385621,306
"Carlos Santana",2017,"L",0.278884462151394,0.605577689243028,251
"Carlos Santana",2018,"L",0.224755700325733,0.504885993485342,307
"Carlos Santana",2019,"L",0.26,0.63,300
"Carson Kelly",2019,"R",0.253393665158371,0.660633484162896,221
"Cavan Biggio",2019,"L",0.299065420560748,0.635514018691589,214
"Cesar Hernandez",2015,"L",0.315533980582524,0.427184466019417,206
"Cesar Hernandez",2016,"L",0.323432343234323,0.481848184818482,303
"Cesar Hernandez",2017,"L",0.358565737051793,0.52191235059761,251
"Cesar Hernandez",2018,"L",0.303921568627451,0.503267973856209,306
"Cesar Hernandez",2019,"L",0.315942028985507,0.544927536231884,345
"Chad Pinder",2018,"R",0.305418719211823,0.61576354679803,203
"Chad Pinder",2019,"R",0.255506607929515,0.550660792951542,227
"Charlie Blackmon",2015,"L",0.310126582278481,0.546413502109705,474
"Charlie Blackmon",2016,"L",0.329596412556054,0.650224215246637,446
"Charlie Blackmon",2017,"L",0.341825902335456,0.75583864118896,471
"Charlie Blackmon",2018,"L",0.31236442516269,0.622559652928417,461
"Charlie Blackmon",2019,"L",0.309210526315789,0.682017543859649,456
"Chase Headley",2015,"L",0.28957528957529,0.447876447876448,259
"Chase Headley",2017,"L",0.352941176470588,0.546218487394958,238
"Chase Utley",2015,"L",0.227118644067797,0.383050847457627,295
"Chase Utley",2016,"L",0.292479108635098,0.495821727019499,359
"Chase Utley",2017,"L",0.261802575107296,0.497854077253219,233
"Cheslor Cuthbert",2016,"R",0.31728045325779,0.524079320113314,353
"Cheslor Cuthbert",2019,"R",0.291479820627803,0.511210762331839,223
"Chris Carter",2015,"R",0.211981566820276,0.658986175115207,217
"Chris Carter",2016,"R",0.241486068111455,0.78328173374613,323
"Chris Coghlan",2015,"L",0.257763975155279,0.555900621118012,322
"Chris Colabello",2015,"R",0.381395348837209,0.688372093023256,215
"Chris Davis",2015,"L",0.287390029325513,0.865102639296188,341
"Chris Davis",2016,"L",0.25,0.78125,320
"Chris Davis",2017,"L",0.271966527196653,0.748953974895398,239
"Chris Davis",2018,"L",0.220149253731343,0.48134328358209,268
"Chris Owings",2015,"R",0.301994301994302,0.452991452991453,351
"Chris Owings",2016,"R",0.332335329341317,0.523952095808383,334
"Chris Owings",2017,"R",0.297619047619048,0.571428571428571,252
"Chris Owings",2018,"R",0.25,0.395,200
"Chris Taylor",2017,"R",0.327683615819209,0.672316384180791,354
"Chris Taylor",2018,"R",0.329268292682927,0.670731707317073,328
"Chris Taylor",2019,"R",0.330508474576271,0.669491525423729,236
"Chris Young",2015,"R",0.263157894736842,0.574561403508772,228
"Christian Vazquez",2017,"R",0.355371900826446,0.512396694214876,242
"Christian Vazquez",2019,"R",0.282051282051282,0.581196581196581,351
"Christian Villanueva",2018,"R",0.269058295964126,0.672645739910314,223
"Christian Walker",2019,"R",0.290598290598291,0.663817663817664,351
"Christian Yelich",2015,"L",0.354651162790698,0.523255813953488,344
"Christian Yelich",2016,"L",0.332535885167464,0.629186602870813,418
"Christian Yelich",2017,"L",0.32258064516129,0.550691244239631,434
"Christian Yelich",2018,"L",0.334128878281623,0.75417661097852,419
"Christian Yelich",2019,"L",0.322766570605187,0.887608069164265,347
"Christin Stewart",2019,"L",0.294573643410853,0.523255813953488,258
"Clint Robinson",2015,"L",0.295454545454545,0.531818181818182,220
"Coco Crisp",2016,"L",0.262172284644195,0.524344569288389,267
"Cody Asche",2015,"L",0.301418439716312,0.535460992907801,282
"Cody Bellinger",2017,"L",0.263492063492063,0.822222222222222,315
"Cody Bellinger",2018,"L",0.290055248618785,0.629834254143646,362
"Cody Bellinger",2019,"L",0.278048780487805,0.787804878048781,410
"Colby Rasmus",2015,"L",0.270916334661355,0.713147410358566,251
"Colby Rasmus",2016,"L",0.248888888888889,0.56,225
"Colin Moran",2018,"L",0.309375,0.496875,320
"Colin Moran",2019,"L",0.338557993730408,0.570532915360502,319
"Corey Dickerson",2016,"L",0.272727272727273,0.639204545454545,352
"Corey Dickerson",2017,"L",0.325925925925926,0.65679012345679,405
"Corey Dickerson",2018,"L",0.315270935960591,0.559113300492611,406
"Corey Seager",2016,"L",0.344298245614035,0.642543859649123,456
