"bin_all","n","single_prob","double_prob","triple_prob","home_run_prob","out_prob"
"14.05",14095,0.0505143667967364,0.00177367860943597,0,0,0.947711954593828
"14.06",6404,0.180668332292317,0.000468457214241099,0,0,0.818863210493442
"14.07",2605,0.192706333973129,0.000383877159309021,0,0,0.806909788867562
"14.08",1107,0.264679313459801,0.00903342366757001,0.000903342366757001,0,0.725383920505872
"14.09",1134,0.447971781305115,0.00970017636684303,0.000881834215167548,0,0.541446208112875
"14.1",1367,0.613021214337966,0.0197512801755669,0,0,0.367227505486467
"14.11",1689,0.654825340438129,0.0272350503256365,0,0,0.317939609236234
"14.12",1982,0.560040363269425,0.0474268415741675,0.00100908173562059,0,0.391523713420787
"14.13",1884,0.41135881104034,0.10244161358811,0.00212314225053079,0.000530785562632696,0.483545647558386
"14.14",1596,0.228696741854637,0.156015037593985,0.0043859649122807,0,0.610902255639098
"14.15",1411,0.0864635010630758,0.168674698795181,0.0120481927710843,0,0.732813607370659
"14.16",1350,0.0162962962962963,0.251851851851852,0.0237037037037037,0.00222222222222222,0.705925925925926
"14.17",1284,0.00700934579439252,0.343457943925234,0.0560747663551402,0.0132398753894081,0.580218068535826
"14.18",744,0.00537634408602151,0.286290322580645,0.0658602150537634,0.280913978494624,0.361559139784946
"14.19",449,0.0066815144766147,0.0979955456570156,0.0200445434298441,0.841870824053452,0.0334075723830735
"14.2",120,0.00833333333333333,0.00833333333333333,0,0.975,0.00833333333333333
"14.21",15,0.0666666666666667,0,0,0.866666666666667,0.0666666666666667
"15.02",352,0.292613636363636,0,0,0,0.707386363636364
"15.03",4062,0.299852289512555,0.00123092072870507,0,0,0.698916789758739
"15.04",12467,0.059436913451512,0.000160423518087752,0,0,0.9404026630304
"15.05",14599,0.0587711487088157,0.000136995684635934,0,6.8497842317967e-05,0.94102335776423
"15.06",25983,0.0335219181772698,3.84867028441673e-05,0,0,0.966439595119886
"15.07",7091,0.0657171061909463,0.000423071499083345,0,0,0.93385982230997
"15.08",1004,0.138446215139442,0.00796812749003984,0,0,0.853585657370518
"15.09",762,0.299212598425197,0.010498687664042,0,0,0.690288713910761
"15.1",1000,0.563,0.019,0,0,0.418
"15.11",1823,0.691716950082282,0.0186505759736698,0.000548546352166758,0,0.289083927591882
"15.12",2617,0.670615208253726,0.0278945357279327,0.000382116927779901,0,0.301108139090562
"15.13",2603,0.526315789473684,0.0395697272378025,0.00153668843641952,0.000384172109104879,0.432193622742989
"15.14",2175,0.305287356321839,0.0583908045977012,0.00229885057471264,0.000459770114942529,0.633563218390805
"15.15",1533,0.112850619699935,0.071102413568167,0.00717547292889759,0.000652315720808871,0.808219178082192
"15.16",1316,0.0372340425531915,0.111702127659574,0.00759878419452888,0.000759878419452888,0.842705167173252
"15.17",1279,0.0117279124315872,0.199374511336982,0.0273651290070367,0.00234558248631744,0.759186864738077
"15.18",783,0.00510855683269476,0.229885057471264,0.0715197956577267,0.137931034482759,0.555555555555556
"15.19",408,0.00490196078431373,0.112745098039216,0.0465686274509804,0.759803921568627,0.0759803921568627
"15.2",136,0.0220588235294118,0.0147058823529412,0,0.955882352941177,0.00735294117647059
"15.21",17,0,0,0,1,0
"16.02",4349,0.284203265118418,0.000459875833524948,0,0,0.715336859048057
"16.03",5529,0.206366431542774,0.000180864532465184,0,0,0.79345270392476
"16.04",2179,0.23405231757687,0.000917852225791648,0,0,0.765029830197338
"16.05",3797,0.105873057677114,0.000263365815117198,0,0,0.893863576507769
"16.06",6523,0.0542695078951403,0.00015330369461904,0,0,0.945577188410241
"16.07",5608,0.129279600570613,0.000178316690442225,0,0,0.870542082738944
"16.08",1150,0.292173913043478,0.00260869565217391,0,0,0.705217391304348
"16.09",825,0.423030303030303,0.00606060606060606,0,0,0.570909090909091
"16.1",1503,0.645375914836993,0.00998003992015968,0,0,0.344644045242848
"16.11",2973,0.753111335351497,0.00538176925664312,0,0,0.24150689539186
"16.12",4443,0.71393202790907,0.008327706504614,0.000225073148773351,0,0.277515192437542
"16.13",3602,0.544975013881177,0.00971682398667407,0.000555247084952804,0,0.444752915047196
"16.14",2586,0.292730085073473,0.0158546017014695,0.000773395204949729,0.000386697602474865,0.690255220417633
"16.15",1662,0.120336943441637,0.0174488567990373,0.00180505415162455,0,0.860409145607702
"16.16",1335,0.0359550561797753,0.0419475655430712,0.00823970037453184,0,0.913857677902622
"16.17",1258,0.0111287758346582,0.108108108108108,0.0206677265500795,0,0.860095389507154
"16.18",915,0.00765027322404372,0.228415300546448,0.0371584699453552,0.0786885245901639,0.648087431693989
"16.19",418,0.00239234449760766,0.150717703349282,0.0382775119617225,0.720095693779904,0.0885167464114833
"16.2",164,0,0.0182926829268293,0,0.975609756097561,0.00609756097560976
"16.21",18,0,0,0,0.944444444444444,0.0555555555555556
"17.01",1,0,0,0,0,1
"17.02",5458,0.0582631000366435,0.000183217295712715,0,0,0.941553682667644
"17.03",13008,0.0543511685116851,0.000768757687576876,0,0,0.944880073800738
"17.04",1510,0.158278145695364,0.00132450331125828,0,0,0.840397350993378
"17.05",1216,0.1875,0,0,0,0.8125
"17.06",1957,0.101175268267757,0,0,0,0.898824731732243
"17.07",4270,0.144028103044496,0.000234192037470726,0,0,0.855737704918033
"17.08",1233,0.256285482562855,0.0040551500405515,0,0,0.739659367396594
"17.09",823,0.391251518833536,0.00486026731470231,0,0,0.603888213851762
"17.1",1568,0.644770408163265,0.00829081632653061,0,0,0.346938775510204
"17.11",3020,0.718211920529801,0.00463576158940397,0.00033112582781457,0,0.27682119205298
"17.12",4747,0.706130187486834,0.00547714345902675,0.00105329681904361,0,0.287339372235096
"17.13",3736,0.541488222698073,0.00588865096359743,0.000802997858672377,0,0.451820128479657
"17.14",3053,0.297084834588929,0.00393056010481494,0.00131018670160498,0.000327546675401245,0.69734687192925
"17.15",1945,0.113110539845758,0.00565552699228792,0.0025706940874036,0,0.87866323907455
"17.16",1383,0.0390455531453362,0.0354302241503977,0.00506146059291396,0,0.920462762111352
"17.17",1244,0.00482315112540193,0.10048231511254,0.0144694533762058,0.00160771704180064,0.878617363344051
"17.18",909,0.0055005500550055,0.236523652365237,0.0451045104510451,0.0572057205720572,0.655665566556656
"17.19",489,0.0081799591002045,0.10838445807771,0.0306748466257669,0.740286298568507,0.112474437627812
"17.2",201,0.00497512437810945,0.00995024875621891,0.00995024875621891,0.975124378109453,0
"17.21",22,0.0454545454545455,0.0454545454545455,0,0.909090909090909,0
"18.02",965,0.122279792746114,0,0,0,0.877720207253886
"18.03",3671,0.0999727594660855,0.000544810678289294,0,0,0.899482429855625
"18.04",3251,0.126422639187942,0.000307597662257767,0,0,0.8732697631498
"18.05",5749,0.0779265959297269,0,0,0,0.922073404070273
"18.06",13857,0.0255466551201559,0.000216497077289457,0,0,0.974236847802555
"18.07",7365,0.059877800407332,0,0,0,0.940122199592668
"18.08",1006,0.164015904572565,0.00497017892644135,0,0,0.831013916500994
"18.09",793,0.32156368221942,0.00756620428751576,0,0,0.670870113493064
"18.1",1146,0.56457242582897,0.0130890052356021,0.00087260034904014,0,0.421465968586387
"18.11",2101,0.670633031889576,0.0176106615897192,0,0.000475963826749167,0.311280342693955
