"batter","pitcher","singles","doubles","triples","home_runs","outs","xbabip","xbscon"
"Jose Altuve","Masahiro Tanaka",21.3921855768392,7.79136641102916,0.83622090822123,4.55433810851947,65.4258889953909,0.314522130196146,0.577009335576391
"Mike Trout","Noah Syndergaard",21.3243340309164,7.59271401613425,0.879230285365883,5.54602972069838,64.6576919468851,0.315458188198004,0.613315718020761
"Nelson Cruz","Noah Syndergaard",20.9490145599646,7.04395387927448,0.863988579714672,6.41118320109925,64.731859779947,0.308337662617963,0.632736208620546
"Alex Bregman","Noah Syndergaard",20.9188729778024,7.40934120480689,0.88237603903494,5.3667200342383,65.4226897441175,0.308671433899497,0.598515636414741
"Josh Donaldson","Noah Syndergaard",21.0883408422337,6.69350840994998,0.769594167110845,6.23445228716592,65.2141042935395,0.304498231127877,0.617219493121299
"J.D. Martinez","Noah Syndergaard",20.1653269752606,7.19880094306855,0.904115288603408,7.59486483061768,64.1368919624498,0.305916366607935,0.676547340496786
"Joey Votto","Noah Syndergaard",21.6159555207245,6.88540644783532,0.851389037036791,5.46790590386532,65.179343090538,0.310505667797291,0.598125591429668
"Freddie Freeman","Noah Syndergaard",21.182126899658,7.27830316014524,0.864802941248322,6.30755600899186,64.3672109899566,0.312994642384032,0.635633660796609
"Christian Yelich","Noah Syndergaard",20.5461001773164,5.59222949656113,0.627040608847298,5.16949720154078,68.0651325157344,0.28224431478138,0.542896698031436
"Bryce Harper","Noah Syndergaard",21.7883522464059,6.42820896703735,0.752376560924196,6.37412262770791,64.6569395979247,0.30941165612981,0.623983903740848
"Jose Altuve","Noah Syndergaard",21.3743496835857,5.65813218525779,0.687253249208103,3.23581566908469,69.0444492128637,0.286466891750519,0.476956364780644
"Mike Trout","Mike Leake",20.3765271610242,7.6373766245231,0.882238283353442,6.42541141085038,64.6784465202489,0.308803303381569,0.639996409035322
"Nelson Cruz","Mike Leake",20.1613285250931,7.05571586294361,0.8899693117373,6.94479220035833,64.9481940998676,0.302046649127812,0.647218369876256
"Alex Bregman","Mike Leake",19.9639263176391,6.8669454751639,0.746879948580155,4.7763222080392,67.6459260505777,0.289610235404196,0.550437459458641
"Josh Donaldson","Mike Leake",19.8305221774298,6.44843707038217,0.827355283178956,4.79712819718372,68.0965572718254,0.284721605742455,0.543979749564659
"J.D. Martinez","Mike Leake",20.4936343544641,6.20688872152733,0.722518282337855,4.80118496401098,67.7757736776598,0.288060742646452,0.542797065005762
"Joey Votto","Mike Leake",20.8936265725277,6.37865660061072,0.777270244694756,4.73137996278303,67.2190666193838,0.294425944312781,0.549082703589655
"Freddie Freeman","Mike Leake",19.5878342626413,6.94645578745679,0.804027256523097,5.32601938081126,67.3356633125675,0.288762732144805,0.571969051303692
"Christian Yelich","Mike Leake",19.1948659889767,5.71727086171965,0.673956073535412,6.05635646572315,68.3575506100451,0.272355765240213,0.568767017959149
"Bryce Harper","Mike Leake",19.8180390741728,7.0064335319938,0.903082447205946,6.82888331228264,65.4435616343448,0.297598183204215,0.638556867289088
"Jose Altuve","Mike Leake",21.2923371391829,5.10314936501367,0.616821806804244,2.97036548982583,70.0173261991734,0.278392353504829,0.452305632489263
"Mike Trout","Tanner Roark",20.7073672550166,7.45797544053071,0.820976818580475,6.24777997271376,64.7659005131585,0.309180086676256,0.630773684826744
"Nelson Cruz","Tanner Roark",20.9936326085325,7.01860497709608,0.782046132194482,6.94400393417521,64.2617123480017,0.309429643818491,0.65152996696009
